Description,DangerousEquipment,EquipmentProximity,WorkerMovement,Slips,LeadingEdge,Confinedspace,Hazardousmaterial,Heavymaterialmovement,Electricalsproximity,Hightempertureoperation
تخریب آسفالت بین دو خط برش (بافاصله حداکثر ١٫۵ متر) با وسایل مکانیکی مانند کمپرسور یا بیل هیدرولیکی، به ضخامت تا ٧ سانتی‌متر و برداشتن آن.,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
 تهیه و نصب شبکه پیش جوش شده برای نرده و حصار محوطه.,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
برچیدن پنجره یا درهای فلزی، همراه با قاب مربوط یا هر نوع چهارچوب فلزی دیگر.,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
تهیه و کار گذاشتن تیر ساده (تیرریزی ساده) از یک تیرآهن یا ناودانی، به همراه ورق‌های تقویتی.,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
تهیه و اجرای پوشش سطوح قائم با ورق MDF به ضخامت حدود 8 میلی‌متر.,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
نماسازی با سنگ لایه‌لایه (تخته‌ای) درصورتی‌که بندها در کل سطح کار دارای ضخامت یکسان باشند.,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0
تهیه و نصب کاشی های سرامیکی با جذب آب پایین روی سطوح قائم به‌صورت خشک با روش نصب نمایان.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
 نماسازی با سنگ قلوه رودخانه‌ای، با ملات ماسه سیمان 1:5 .,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0
تهیه و نصب سنگ پلاک گرانیت مشکی تویسرکان (همدان) در سطوح افقی.,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
تهیه مصالح و اجرای گل میخ های پلاستیکی همراه با تمام وسایل نصب، جهت نصب عایق های حرارتی.,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
تهیه و اجرای پوشش سطوح قائم یا افقی یا لمبه از چوب نراد خارجی به ضخامت بیش از ١٨ تا ٢٠ میلی‌متر.,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
تهیه و نصب کف‌پوش P.V.C، به‌صورت تایل به ابعاد مختلف با طرح پولکی و با ضخامت ١٫۵ تا ٢ میلی‌متر.,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
تهیه و نصب کاشی های سرامیکی لعاب دار یا بدون لعاب روی سطوح قائم با سطح بیش از ٢۵ تا ٣۶ دسی مترمربع.,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
تهیه و نصب سنگ پلاک لاشه مرمریت برای کف.,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
تهیه و نصب سنگ پلاک گرانیت مشکی چایان (همدان) درسطوح افقی.,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
تهیه ورق‌های موج‌دار U.P.V.C به ضخامت اسمی ٢ میلی‌متر.,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
قالب بندی با استفاده از قالب میزی در دال‌ها (تاوه‌ها) با تمام وسایل و ملحقات.,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
تهیه و نصب سنگ پلاک گرانیت کرم یا سفید نهبندان (خراسان جنوبی) در سطوح افقی.,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
تهیه، حمل و نصب سنگ مکعبی (کیوبیک) به ابعاد ۵×١٠×١٠ سانتی‌متر در سطوح افقی با سنگ گرانیت شکلاتی خرمدره (زنجان).,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
تهیه و نصب سنگ پلاک تراورتن کرم سلماس (آذربایجان غربی) در سطوح افقی.,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
تهیه و کاشت بولت مکانیکی به همراه سوراخ کاری.,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
تعبیه انواع درز در مقطع عرضی قطعات بتنی بدون پر کردن آن برحسب حجم درز.,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
خارج کردن بندهای موجود با هر نوع مصالح و پاک کردن درزها.,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
بنایی با بلوک های بتن ی پیش‌ساخته از بتن  سبک اتوکلاوشده (بتن  گازی) با ملات مخصوص به ضخامت حدود ١٠سانتی‌متر.,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
تهیه و نصب کف‌پوش لاستیکی آج دار، به‌صورت رول و با ضخامت اسمی ١٫۵ میلی‌متر.,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
تهیه و نصب سنگ پلاک چینی سفید سیرجان (کرمان) درسطوح افقی.,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
تهیه و نصب چمن مصنوعی زمین فوتبال از نوع تک رشته ای منوفیلامنت (Monofilament),1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
قالب بندی با استفاده از قالب فولادی، پشت‌بند، چوب‌بست و داربست و سکوها و تمام تجهیزات لازم برای قالب لغزنده قائم درصورتی‌که سطح مقطع سازه متغیر باشد.,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
برچیدن و صاف کردن (در حد امکان)، و دورچین کردن آهن ورق صاف یا کرکره‌ای از روی شیروانی، سقف ها، سایه بان، جان‌پناه ، کف پنجره و مانند آن، برحسب سطح برچیده شده.,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0
تهیه و نصب دال بتنی پیش‌ساخته (مسلح)، با عیار ٣٠٠ کیلوگرم سیمان در مترمکعب، برای دال روی کانال‌ها، نهرها و یا به عنوان پل روی جوی ها و موارد مشابه.,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0
تهیه، ساخت و نصب قاب های فولادی که جان و بال آن‌ها از ورق بریده و ساخته شده اند (با جان متغیر)، به همراه کف ستون‌ها، انواع ورق‌های تقویتی و اتصالات مربوط برای دهانه تا ٣٠ متر.,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0
 نماسازی با بلوک سیمانی.,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0
تهیه مصالح و اجرای رنگ الکیدی کرومات روی اخرایی به طریق بدون هوا، روی اسکلت فولادی در یک قشر به ضخامت خشک ۴٠ میکرون.,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
تهیه و نصب درپوش لوله بخاری به هر قطر از آهن سفید.,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
تهیه، ساخت و نصب چهارچوب کمد و گنجه، از چوب نراد خارجی، به سطح مقطع بیش از ٣٠ تا ۴٠ سانتی‌متر مربع، به‌طور کامل.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
تهیه و نصب سنگ پلاک مرمریت قرمز حنایی خوی (آذربایجان غربی) در سطوح افقی.,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
اجرای ماهیچه سیمانی به ضخامت تا ۵ سانتی‌متر از ملات ماسه سیمان ١:٣ روی لوله های تاسیساتی کار شده درکف.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
تهیه و نصب سیم‌خاردار حلقوی سوزنی یا تبری به قطر٩٠ سانتی‌متر از فولاد گالوانیزه با اتصالات لازم.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
اضافه بها برای هر نوع دیوارچینی یا آجرکاری که در پایین تر از آب‌های زیرزمینی انجام شود و آبکشی حین انجام کار با تلمبه موتوری الزامی باشد.,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
بنایی با پانل‌های دیواری بتنی پیش‌ساخته از بتن سبک دانه های پلی استایرن و رس منبسط شده، با ملات مخصوص به ضخامت حدود ١۵ سانتی‌متر.,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
تهیه، ساخت و نصب تیر اصلی از ورق به شکل تیرآهن یا اشکال دیگر به همراه ورق‌های تقویتی و ورق‌های سخت کننده.,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
تهیه و نصب صفحات سیمانی الیاف دار، به ضخامت حدود ٨ میلی‌متر با به سطح صاف روی سطوح قائم که با استفاده از فولاد گالوانیزه سرد نورد شده زیرسازی شده باشد، به ازای هر صفحه سیمانی.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
بنایی با بلوک سیمانی سبک توخالی کف پر تهیه شده از پرلیت منبسط شده و سبکدانه های حاصل از فرآوری مواد طبیعی به ضخامت حدود ١٠ سانتی‌متر با ملات ماسه سیمان 1:5,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
تهیه مصالح و اجرای اندود نفوذی با قیر امولسیون کاتیونیک CMS با حداقل قیر باقیمانده ۶۵ درصد در آزمایش تقطیر.,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
کسربها به‌ ردیف های دیوارچینی یا آجرکاری با آجرفشاری و آجر ماسه آهکی، درصورتی‌که از ملات گچ و خاک بجای ملات ماسه سیمان 1:5 استفاده شود، به ازای هر متر مکعب آجرچینی.,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
بنایی با بلوک سیمانی توخالی به ضخامت حدود ١۵ سانتی‌متر با ملات ماسه سیمان 1:5,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
تخریب بنایی‌های با مصالح خشتی و چینه‌ای.,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
تهیه و اجرای بتن آسفالتی با سنگ شکسته برای قشر آستر، هرگاه دانه بندی مصالح صفر تا ٣٧٫۵ میلی‌متر باشد.,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0
نماچینی با آجر پلاک با سطح مقطع بیش از ١٠ سانتی‌متر مربع با ملات ماسه سیمان 1:5 به همراه دوغاب ریزی پشت اجر.,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0
 برچیدن ورق‌های صاف یا موج‌دار آزبست سیمان، برحسب سطح برچیده شده.,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
تهیه وسایل و قالب بندی با استفاده از تخته نراد خارجی، در ستون‌ها و شناژهای قائم با مقطع چهارضلعی به هر ارتفاع,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
عایق کاری رطوبتی، با دو قشر اندود قیر و یک لایه گونی برای سایر سطوح.,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
تهیه و اجرای میلگرد بستر گالوانیزه در دیوارهای بنایی برای مهار دیوار به اجزای سازه‌ای.,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
 سنگ‌ریزی پشت دیوار و پی با سنگ قلوه.,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
آجرکاری به ضخامت یک و نیم آجر و بیشتر با آجرماشینی سوراخ دار به ابعاد آجرفشاری و ملات ماسه سیمان 1:5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
تهیه مصالح و اجرای رنگ پلاستیک روی سطوح گچی یا صفحات گچی دیوارها و سقف ها.,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
تهیه و اجرای بتن با شن و ماسه شسته طبیعی یا شکسته با مقاومت فشاری مشخصه ٣۵ مگاپاسکال.,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
 تهیه و نصب تور سیمی گالوانیزه زیر اندود.,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
ایجاد شیار با سطح مقطع بیش از ٢٠ تا ۴٠ سانتی‌متر مربع، در سطوح بتنی.,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0
لایه کاری دو شیشه مسطح با لایه پلیمری پلی وینیل بوتیرال بین دو شیشه به ضخامت ٠٫٣٨ میلیمتر.,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
تهیه، ساخت و اجرای نگهدارنده دیوارهای بنایی به اجزای سازه ای به ‌صورت افقی یا قایم، از پروفیل‌های توخالی.,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
تهیه و اجرای بتن با شن و ماسه شسته طبیعی یا شکسته با مقاومت فشاری مشخصه ۴٠ مگاپاسکال.,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
تهیه و نصب سنگ پلاک مرمریت کرم دهبید (فارس) درسطوح افقی.,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
.U.P.V.C برچیدن در و پنجره آلومینیومی یا,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
تهیه و نصب کف‌پوش ورزشی از نوع P.V.C زیر‌فوم‌دار به ضخامت ۴ تا ۵ میلی‌متر به‌صورت رول.,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
عایق کاری حرارتی با عایق پشم سرباره به‌صورت پانل و بدون روکش به ضخامت ٣٠ میلی‌متر و وزن مخصوص ۵٠ کیلوگرم بر مترمکعب.,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
عایق کاری رطوبتی، با عایق پیش‌ساخته درجه یک متشکل از قیر پلاستیکی، الیاف پلی استر نوع نبافته و تیشو به ضخامت ٣٫۵ تا ۴ میلی‌متر به انضمام قشر آستر برای سایر سطوح.,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
تهیه، ساخت و نصب بادبند از ورق با تمام قطعات اتصال به ستون، تیر یا اعضای بادبند به یکدیگر.,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
پخش خاک‌های نباتی ریسه یا توده شده، تنظیم و رگلاژ آن در محل‌های موردنظر.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
تهیه مصالح، حمل و اجرای کف‌پوش‌های بتنی پیش‌ساخته پرسی، به ضخامت ۴ سانتی‌متر و به سطح بیش از ١۶ دسی مترمربع، برای هر کف‌پوش، با ملات ماسه سیمان 1:6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
تهیه و ساخت قفس فولادی پیش‌ساخته از میلگرد با جوش‌کاری لازم به‌عنوان نگهدارنده قالب‌های کروی و بیضوی شکل ماندگار در سقف های مجوف بتنی.,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
تهیه، مونتاژ و جاگذاری کابل بدون روکش برای اجرای مهار تنیده.,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
نصب ورق‌های چند جداره شفاف و رنگی پلی کربنات ردیف ٢٣٠۵٢٠ باتمام وسایل نصب.,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
تهیه و نصب روکش روی سطوح قائم از ورق نمای آلومینیوم (فاساد)، با پوشش آنادایز غیررنگی به ضخامت١٠ میکرون.,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
برچیدن هر نو ع کانال هوا همراه با عایق آن در صورت وجود برحسب مترمربع کانال.,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0
 قالب بندی جدار خارجی دیوارها، تیرها یا ستون‌ها، با استفاده از قالب فولادی.,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
تهیه و اجرای شبکه الیاف کربن جهت مسلح کردن کارهای بنایی با بلوک و پانل.,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
تهیه و نصب پوشش یک روی در، از جنس HDF به ضخامت حدود ٣ میلی‌متر، با پرس کردن.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
فرش کف با موزاییک ماشینی پرسی تک لایه با سطح صاف با ملات ماسه سیمان 1:5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
تهیه و اجرای فوم پلی اتیلن به ضخامت یک میلی‌متر و وزن مخصوص ٢۵ کیلوگرم در مترمکعب.,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
پخش، آب‌پاشی، تسطیح و کوبیدن قشرهای اساس به ضخامت بیش از ١٠ تا ١۵ سانتی‌متر با حداقل ١٠٠ درصد تراکم به روش آشتو اصلاحی.,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
تهیه، ساخت و کارگذار ی پایه یا دستک فولادی از لوله گالوانیزه، برای نصب سیم خاردار یا تور سیمی و سایر کارهای مشابه آن.,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
بنایی با بلوک سیمانی سبک توخالی کف پر متشکل از سبکدانه های حاصل از فرآوری مواد طبیعی به ضخامت. حدود ١۵ سانتی‌متر با ملات ماسه سیمان 1:5,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
نصب و سوار کردن پانل های پلاستیکی تقویت شده با الیاف شیشه (GRP) به منظور احداث مخازن مکعبی پیش ساخته مدولار روی نشیمن فولاد ضدزنگ.,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
اضافه بهای نماسازی نسبت به‌ ردیف های دیوارچینی با آجر فشاری، آجر ماسه آهکی و آجر ماشینی سوراخ دار.,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0
تهیه و نصب سیم‌خاردار حلقوی سوزنی یا تبری به قطر۶٠ سانتی‌متر از فولاد گالوانیزه با اتصالات لازم.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
تهیه و نصب روکش از PVC به ضخامت حدود ٠٫3 میلی‌متر، با پرس کردن.,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
تهیه و نصب سنگ پلاک مرمریت لاشتر (اصفهان) در سطوح افقی.,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
آب‌پاشی و کوبیدن سطوح کنده‌شده یا سطح زمین طبیعی، تا عمق ١۵ سانتی‌متر با تراکم ٩۵ درصد به روش پروکتور استاندارد.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
کندن و یا بریدن و در صورت لزوم ریشه‌کن کردن هر نوع نهال، درصورتی‌که محیط بن آن کمتر از ١۵ سانتی‌متر باشد، به ازای هر ۵ سانتی‌متر محیط بن (کسر ۵ سانتی‌متر به‌تناسب محاسبه می‌شود) و حمل آن به خارج کارگاه.,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
تهیه و نصب لوله بتنی پیش‌ساخته، به قطر داخلی ٢۵سانتی‌متر و ضخامت تا ۵ سانتی‌متر، با بتن به عیار ٣٠٠کیلوگرم سیمان در مترمکعب بتن .,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
نماسازی با سنگ لایه‌لایه (تخته‌ای) به ضخامت حداقل ۴ سانتی‌متر و ملات ماسه سیمان 1:5,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0
تهیه وسایل و جاگذاری قالب‌های کروی یا بیضوی شکل ماندگار به هر ضخامت سقف در سقف های مجوف بتنی از جنس پلیمر.,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
برچیدن هر نوع سنگ پلاک از کلیه سطوح اجراشده و تراشیدن ملات مربوط در صورت لزوم.,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
عایق کاری حرارتی با عایق پلی یورتان به ضخامت ١۵ میلی‌متر و وزن مخصوص ٣٠ کیلوگرم بر مترمکعب.,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
برچیدن جدول‌های بتنی پیش‌ساخته و سنگی با هر ابعاد.,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
ایجاد شیار به هر ابعاد، در ملات موضوع ردیف های٠٨٠٣١٢ و ٠٨٠٣١٣، به ‌وسیله کاتر.,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
تهیه مصالح و اجرای زیرسازی سطوح کاذب اعم از افقی یاقائم، با پروفیل‌های توخالی.,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
نماچینی نیم آجره با آجر قزاقی به ضخامت حدود ۴ سانتی‌متر و ملات ماسه سیمان 1:5,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0
تهیه و نصب نبشی پلاستیکی بدون روکش، از نوع پروفیل .P.V.C,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
تهیه و اجرای کف کاذب فولادی شامل شبکه زیرسازی به ۶٠ سانتی‌متر، با زیرسازی موردنیاز (پایه، کمرکش و... ) از ورق و پروفیل از جنس فولاد گالوانیزه سرد به همراه پانل فولادی با رنگ پودری الکترواستاتیک کوره ای و پرکننده جداره میانی پانل به انضمام اتصالات موردنیاز مطابق مشخصات فنی.,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
تهیه و نصب روکش کاغذی، با پرس کردن.,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
تهیه و نصب نبشی از آلومینیوم رنگ نشده، برای لبه های تیز و کارهای مشابه آن.,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
پخ زدن یا تعبیه چفت در لبه سنگ‌های پلاک بجز گرانیت برحسب هر متر طول لبه سنگ به ازای هر بار.,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
تمیزکاری و آماده سازی سطح زیرین اندود جهت اجرای اندود.,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
تهیه و نصب کاشی های سرامیکی استخری روی سطوح افقی و قائم از سرامیک های گروهی با سطح هر قطعه تا ٠٫١ دسی مترمربع با شکل های مربع یا شش گوشه یا سایر اشکال مختلف.,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
تهیه و اجرای بتن  پاششی به روش خشک با عیار ۴٠٠ کیلوگرم سیمان در مترمکعب روی دیواره های خاکی، به ازای هر سانتی‌متر ضخامت.,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
تهیه و نصب قرنیز P.V.C فشرده روکش دار به ارتفاع ٧ تا ٩ سانتی‌متر و ضخامت ۴ تا ٨ میلی‌متر.,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
 درآوردن چفت در سطوح گچ کاری.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
فرش کف با موزاییک پرسی یا ویبره ای آج دار (حیاطی).,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
آب‌پاشی و کوبیدن زمین طبیعی یا بستر خاک‌ریزها یا سطوح کنده‌شده و مانند آن‌ها، تا عمق ١۵ سانتی‌متر با تراکم ٩۵ درصد به روش پروکتور اصلاحی.,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
تهیه و جاگذاری غلاف پلاستیکی از جنس U.P.V.C در بتن  برای عبور لوله و سایر مصارف.,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
تهیه و اجرای بتن  با شن و ماسه شسته طبیعی یا شکسته، با١٠٠ کیلوگرم سیمان در مترمکعب بتن .,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
تهیه و جاگذاری غلاف پلاستیکی از جنس پلی اتیلن در بتن  برای عبور لوله و سایر مصارف.,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
تهیه مصالح و نصب پانل ساندویچی دیواری به ضخامت ۴سانتی‌متر شامل دو رو ورق رنگی فولادی با روکش آلومینیوم و روی به ضخامت ٠٫۵ میلی‌متر که بین آن‌ها فوم پلی یورتان پر شده باشد.,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
تهیه، ساخت و نصب زیرسازی فولادی برای نمای ساختمان از نبشی، سپری، میلگرد و مانند آن.,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0
اضافه بهای نماسازی نسبت به‌ ردیف های دیوارچینی با آجر ماشینی سوراخ دار، درصورتی‌که در نما از آجر ماشینی سوراخ دار مخصوص نما به ابعاد آجر فشاری استفاده شود.,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0
تهیه و نصب پانل دیواری از جنس پانل مشبک عایق دار به ضخامت تا ٧ سانتی‌متر با لایه پلی استایرن خود‌خاموش شو به ضخامت ۴ سانتی‌متر و شبکه ها و برشگیرها از مفتول به قطر ٢ تا ٢٫۵ میلی‌متر با چشمه های به ابعاد ٨٠*80 میلی‌متر به همراه اجرای بازشو ها (به مساحت کمتر از یک مترمربع) و نصب شبکه های اتصال در گوشه و در اطراف بازشوها، به‌طور کامل.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
تهیه و نصب سنگ پلاک مرمریت کرم کاشان (اصفهان) درسطوح افقی.,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
آجرکاری به ضخامت یک و نیم آجر و بیشتر با آجر فشاری و ملات ماسه سیمان 1:5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
تهیه مصالح و اجرای رنگ الکیدی اکسید سرباخرایی به طریق بدون هوا، روی اسکلت فولادی در یک قشر به ضخامت خشک ۴٠ میکرون.,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
برچیدن لوله‌های آزبست سیمان، لوله‌های پیش‌ساخته سیمانی یا چدنی مدفون در مصالح بنایی.,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
تهیه، ساخت و نصب چهارچوب فولادی از ورق (با یا بدون کتیبه)، با شاخک های اتصالی مربوط و جاساز ی ها و تقویت های لازم برای قفل و لولا.,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
تهیه و نصب پرلین از ورق روی سطوح شیب‌دار اسکلت فولادی یا خرپا به همراه اتصالات مربوط.,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
تهیه و نصب پروفیل ریل و قرقره فولادی گالوانیزه برای درها و پنجره های کشویی.,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
اجرای سقف تیرچه و بلوک به ضخامت ٣٠ سانتی‌متر با تیرچه فولادی با جان باز و بلوک توخالی سفالی، شامل تهیه تمام مصالح به‌استثنای تیرچه فولادی و میلگرد، و تهیه تجهیزات لازم به‌طور کامل.,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0
تهیه و نصب سنگ پلاک گرانیت مروارید مشهد (خراسان رضوی) در سطوح افقی.,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
